EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
3030.0,-0.32,-0.007352174,0.0025677604,0.2566860318183899,1,1990,0.0017862504,38905.47197699547,0.9756694,0.0,2732032
3030.0,-0.33,-0.0073424904,0.001964555,-0.014116287231445312,2,1992,0.0006446008,38909.60550737381,0.96329975,0.0,2736128
3030.0,-0.33,-0.0067307833,0.0022702543,-0.8041564226150513,1,1993,0.00010167533,38913.73288035393,0.9562204,0.0,2740224
3030.0,-0.32,-0.0056354916,0.0027398472,0.5089264214038849,1,1994,0.0025421607,38917.88315320015,0.95350385,0.0,2744320
3030.0,-0.31,-0.005475701,0.0019332736,0.4213910698890686,2,1996,0.0011326369,38922.03566169739,0.9878941,0.0,2748416
3030.0,-0.3,-0.005026604,0.0026233285,0.3372437357902527,1,1997,0.0010664504,38926.16346120834,1.000184,0.0,2752512
3030.0,-0.29,-0.008189456,0.0025987986,0.4703490138053894,1,1998,0.003604622,38930.26132464409,0.93093836,0.0,2756608
3030.0,-0.31,-0.006676629,0.0019225746,0.6541647911071777,2,2000,0.00096189044,38934.01135468483,1.0504798,0.0,2760704
3030.0,-0.29,-0.009585846,0.0025934314,-2.0554676055908203,1,2001,7.6711476e-05,38937.75534439087,1.0653481,0.0,2764800
3030.0,-0.29,-0.007211271,0.0021824688,0.6179760694503784,1,2002,0.0027419007,38941.48617482185,1.0018178,0.0,2768896
3030.0,-0.29,-0.0059066694,0.0018898948,0.6302044689655304,2,2004,0.0008233901,38945.41608977318,0.98202074,0.0,2772992
3030.0,-0.28,-0.010172868,0.0019579746,-1.2860822677612305,1,2005,4.7943908e-05,38949.38968753815,1.0753362,0.0,2777088
3030.0,-0.29,-0.005849917,0.0032520527,0.534829318523407,2,2007,0.001486002,38953.42959403992,0.999685,0.0,2781184
3030.0,-0.29,-0.008605245,0.0018683474,-2.8707311153411865,1,2008,0.000110165754,38957.48400449753,0.99363226,0.0,2785280
3030.0,-0.27,-0.0086737,0.0027091773,0.3565053343772888,1,2009,0.0008975018,38961.619264125824,1.0529909,0.0,2789376
3030.0,-0.3,-0.007974397,0.0018034806,-0.03790557384490967,2,2011,0.00055289094,38965.747510671616,1.0963135,0.0,2793472
3030.0,-0.3,-0.0074215103,0.0014462356,0.6375205218791962,1,2012,0.001396026,38969.88835763931,1.0485138,0.0,2797568
3030.0,-0.31,-0.0054873764,0.0019132226,0.02502727508544922,1,2013,0.0007095917,40959.15899205208,1.0254878,0.0,2801664
3040.0,-0.31,-0.009929522,0.0027092493,-2.3837649822235107,1,2014,8.6724416e-05,40963.00731754303,1.0490296,0.0,2805760
3030.0,-0.27,-0.004801849,0.0016693894,0.2174367904663086,2,2016,0.00087452034,40966.79152798653,0.98648435,0.0,2809856
3030.0,-0.29,-0.005479943,0.0016455296,0.3757864236831665,1,2017,0.00048481103,40970.79707789421,0.9681139,0.0,2813952
3030.0,-0.3,-0.006127756,0.0016793578,0.44036388397216797,2,2019,0.002232331,40974.613899707794,1.0425006,0.0,2818048
3030.0,-0.3,-0.008247473,0.003114027,0.25070035457611084,1,2020,0.0021184923,40978.70513057709,0.99645007,0.0,2822144
3030.0,-0.31,-0.008356508,0.0019852885,0.44244182109832764,1,2021,0.0017139108,40982.76101255417,0.9869411,0.0,2826240
3030.0,-0.27,-0.006877504,0.0024539386,0.3615058660507202,2,2023,0.0011701686,40986.92597794533,1.0842096,0.0,2830336
3030.0,-0.27,-0.0073731225,0.0019616918,0.6214650571346283,1,2024,0.00070347404,40990.756289720535,1.0947927,0.0,2834432
3030.0,-0.28,-0.007884513,0.002074144,0.719048410654068,1,2025,0.00051137974,40994.60711526871,1.0230812,0.0,2838528
3030.0,-0.26,-0.006372827,0.0016000678,0.4689875841140747,2,2027,0.00047262612,40998.39154481888,1.0003152,0.0,2842624
3030.0,-0.27,-0.008230945,0.0023055372,0.6620685756206512,1,2028,0.0009619351,41002.16887831688,1.0878202,0.0,2846720
3030.0,-0.26,-0.008812764,0.003130632,0.6336880326271057,1,2029,0.003582701,41005.95936226845,0.9784498,0.0,2850816
3030.0,-0.32,-0.0078526065,0.001988073,0.4474828243255615,2,2031,0.0032706393,41010.022738456726,0.98920023,0.0,2854912
3030.0,-0.33,-0.0077453842,0.0022151212,0.6224975287914276,1,2032,0.00058054674,41014.186381816864,0.9720356,0.0,2859008
3030.0,-0.36,-0.00768317,0.0016292717,0.6606062352657318,2,2034,0.0022059134,41018.35194396973,1.016872,0.0,2863104
3030.0,-0.38,-0.009579489,0.0017063445,0.6257075071334839,1,2035,0.0032147777,41022.51897621155,1.004655,0.0,2867200
3030.0,-0.38,-0.0084365355,0.0017209029,0.6405632495880127,1,2036,0.00073093077,41026.58564829826,0.9855891,0.0,2871296
3030.0,-0.39,-0.0070689544,0.0027019274,0.3693384528160095,2,2038,0.004155519,41030.749658584595,1.0539519,0.0,2875392
3030.0,-0.39,-0.0074230405,0.0017027073,-1.028717041015625,1,2039,0.00032857875,41034.92042565346,1.0048664,0.0,2879488
3030.0,-0.36,-0.009779391,0.0029713798,0.6597808301448822,1,2040,0.003289132,41039.092799425125,1.0233672,0.0,2883584
3030.0,-0.38,-0.008594647,0.0027639715,0.5569752752780914,2,2042,0.002862863,41043.26101255417,1.1128181,0.0,2887680
3030.0,-0.39,-0.008344366,0.0018903919,0.5470920503139496,1,2043,0.0017362842,41047.42938876152,0.95570594,0.0,2891776
3030.0,-0.38,-0.007566223,0.001968447,0.570955365896225,1,2044,0.0023274939,41051.59316563606,1.056847,0.0,2895872
3030.0,-0.4,-0.008706268,0.0016578654,0.5303237736225128,2,2046,0.0023570936,41055.76256227493,1.0238593,0.0,2899968
3040.0,-0.41,-0.007465831,0.0018007068,0.2778279781341553,1,2047,0.0015828448,43056.02865791321,1.0329342,0.0,2904064
3030.0,-0.41,-0.0066861063,0.0017358033,-1.318084478378296,1,2048,0.00012556357,43060.0348880291,1.0403475,0.0,2908160
3030.0,-0.41,-0.005466032,0.0014237053,0.44054847955703735,2,2050,0.0019601693,43063.96919322014,1.0589578,0.0,2912256
3030.0,-0.41,-0.008640486,0.0015999229,-1.0295391082763672,1,2051,0.0001333259,43067.844346523285,1.0754977,0.0,2916352
3030.0,-0.42,-0.0063805105,0.001542997,0.6026782989501953,1,2052,0.0023931132,43071.58398461342,1.01199,0.0,2920448
3030.0,-0.44,-0.0093860235,0.001880414,-0.9928323030471802,2,2054,7.59141e-05,43075.474200963974,1.0614808,0.0,2924544
3030.0,-0.46,-0.0077728406,0.001723039,0.5469863712787628,1,2055,0.0006394364,43079.59880542755,1.0093454,0.0,2928640
3030.0,-0.46,-0.007482023,0.001996842,0.5482045710086823,1,2056,0.0014379934,43083.617470264435,0.99710405,0.0,2932736
3030.0,-0.43,-0.009834775,0.0021920174,-1.4907495975494385,2,2058,5.790065e-05,43087.6430811882,1.0536761,0.0,2936832
3030.0,-0.43,-0.007820912,0.0014681498,-1.6733715534210205,1,2059,6.8680325e-05,43091.49862098694,1.0776383,0.0,2940928
3030.0,-0.42,-0.005914227,0.0012760224,0.7601236999034882,2,2061,0.00063474686,43095.29986000061,1.0850676,0.0,2945024
3030.0,-0.41,-0.0044389497,0.0013810993,0.4181918501853943,1,2062,0.00037014476,43099.05706644058,1.0379964,0.0,2949120
3030.0,-0.4,-0.00524253,0.0016690615,0.4736695885658264,1,2063,0.0014101291,43102.909024477005,0.9886915,0.0,2953216
3030.0,-0.41,-0.0061392793,0.0016430889,0.47055482864379883,2,2065,0.001717891,43106.65565299988,1.0183878,0.0,2957312
3030.0,-0.39,-0.0103712715,0.0017658259,-1.4559252262115479,1,2066,8.316728e-05,43110.62067294121,1.0658277,0.0,2961408
3030.0,-0.38,-0.0068100016,0.0017044002,-2.170781135559082,1,2067,7.25493e-05,43114.74742221832,0.96144325,0.0,2965504
3030.0,-0.38,-0.0047205687,0.0014701649,0.14782840013504028,2,2069,0.0013232513,43118.86978602409,0.9656402,0.0,2969600
3030.0,-0.36,-0.005101174,0.0016265817,0.47937697172164917,1,2070,0.0031809988,43122.95531749725,0.942395,0.0,2973696
3030.0,-0.35,-0.006468729,0.0018669921,0.48752743005752563,1,2071,0.0005297401,43126.72166323662,1.0028996,0.0,2977792
3030.0,-0.37,-0.0049626734,0.0015521902,0.7730971425771713,2,2073,0.0005137484,43130.49391293526,1.0062883,0.0,2981888
3030.0,-0.39,-0.0074304533,0.0013868614,0.19375371932983398,1,2074,0.0024300911,43134.223247528076,0.98054665,0.0,2985984
3030.0,-0.42,-0.008705684,0.0024918206,0.5550933480262756,2,2076,0.007470519,43138.097888469696,0.98168314,0.0,2990080
3030.0,-0.41,-0.010510486,0.0015078103,-1.145660161972046,1,2077,0.0002804087,43141.98307347298,1.0291541,0.0,2994176
3030.0,-0.41,-0.008084433,0.0016650409,0.6161387264728546,1,2078,0.0027014297,43146.0042154789,0.9786101,0.0,2998272
3030.0,-0.41,-0.0072072977,0.0013275193,0.5267311930656433,1,2079,0.0028101865,45148.87867951393,0.95437825,0.0,3002368
3030.0,-0.46,-0.008111417,0.0015721166,0.22707998752593994,2,2081,0.003065782,45152.69295024872,0.93673366,0.0,3006464
3030.0,-0.48,-0.006478636,0.0015017414,0.4465891718864441,1,2082,0.0016810481,45156.44360995293,1.012415,0.0,3010560
